cookieId,sessionId,timestamp
71,73,11/26/2015
36,67,11/17/2016
10,76,7/6/2016
32,50,3/7/2016
05,35,11/15/2015
87,03,7/30/2016
45,29,11/19/2015
12,59,9/26/2016
82,53,11/24/2015
28,76,6/20/2016
55,68,1/16/2016
15,77,4/1/2016
63,03,9/14/2016
70,98,7/15/2016
18,70,4/29/2016
69,90,11/26/2016
38,14,3/14/2016
09,98,10/10/2016
50,04,10/27/2016
71,95,2/11/2016
50,73,6/19/2016
51,81,11/27/2016
16,25,9/10/2016
23,67,3/17/2016
38,03,12/8/2015
33,13,10/7/2016
11,43,9/27/2016
89,83,11/5/2016
12,75,6/22/2016
07,84,5/25/2016
43,72,3/15/2016
04,89,4/15/2016
41,22,5/26/2016
53,01,10/10/2016
70,25,9/26/2016
57,92,12/3/2015
43,96,2/13/2016
96,63,7/21/2016
55,61,10/22/2016
41,26,4/26/2016
96,37,3/24/2016
06,53,12/25/2015
89,28,6/3/2016
13,11,3/18/2016
14,39,3/23/2016
81,08,10/18/2016
10,52,2/23/2016
19,12,12/8/2015
91,63,5/31/2016
25,50,6/16/2016
20,74,11/24/2015
57,55,4/10/2016
08,49,12/16/2015
56,74,4/6/2016
75,76,2/15/2016
59,79,10/8/2016
14,88,6/2/2016
52,42,11/17/2015
05,20,11/29/2015
11,48,4/9/2016
83,99,9/9/2016
62,73,3/5/2016
52,93,8/25/2016
58,61,7/25/2016
80,81,11/3/2015
80,70,12/14/2015
62,78,12/30/2015
62,14,2/18/2016
48,04,11/18/2015
45,83,11/4/2016
02,49,6/6/2016
39,93,12/30/2015
00,22,1/6/2016
06,19,1/1/2016
10,50,4/26/2016
66,92,9/28/2016
22,40,5/1/2016
33,12,2/29/2016
33,17,12/10/2015
16,11,11/15/2016
95,45,7/11/2016
12,66,11/22/2015
47,63,9/25/2016
99,27,10/23/2016
56,23,9/11/2016
75,13,6/22/2016
11,16,12/8/2015
87,17,4/4/2016
08,61,5/22/2016
04,30,3/26/2016
60,83,5/19/2016
88,38,11/28/2015
14,14,11/24/2016
07,04,2/23/2016
23,21,6/27/2016
62,42,9/30/2016
70,44,9/19/2016
99,46,5/12/2016
57,96,7/13/2016
56,64,3/3/2016
84,08,3/18/2016
88,25,12/21/2015
76,67,5/12/2016
80,93,8/13/2016
23,43,11/11/2016
90,38,12/10/2015
88,89,4/4/2016
39,33,1/6/2016
58,35,4/1/2016
77,66,4/7/2016
78,02,6/7/2016
57,67,12/12/2015
35,37,11/8/2016
03,90,11/20/2015
25,11,10/27/2016
05,20,3/3/2016
52,63,3/2/2016
33,78,10/21/2016
37,41,12/21/2015
10,93,3/7/2016
71,84,11/30/2015
64,82,11/27/2015
72,92,12/20/2015
72,25,9/25/2016
01,92,9/23/2016
90,51,4/29/2016
20,72,9/13/2016
18,32,5/11/2016
68,78,2/20/2016
11,98,2/11/2016
47,87,11/26/2016
04,72,7/25/2016
13,40,8/14/2016
24,63,3/7/2016
07,67,11/7/2015
95,57,10/28/2016
62,90,11/25/2016
10,38,7/5/2016
68,98,12/13/2015
61,24,11/3/2015
96,90,3/24/2016
28,72,4/10/2016
31,56,5/11/2016
53,01,9/15/2016
12,29,11/30/2015
30,37,6/15/2016
62,18,1/29/2016
91,70,2/17/2016
32,94,5/23/2016
74,00,11/20/2015
77,96,7/10/2016
46,80,7/22/2016
63,47,2/7/2016
48,33,11/7/2015
18,88,6/25/2016
77,61,11/9/2015
80,58,8/22/2016
42,68,3/8/2016
90,99,6/22/2016
64,15,5/19/2016
20,62,8/5/2016
88,34,8/14/2016
54,41,10/10/2016
10,25,3/22/2016
77,88,5/23/2016
52,06,11/8/2016
15,65,12/15/2015
92,75,8/25/2016
64,62,11/19/2015
22,63,12/12/2015
94,07,12/8/2015
93,86,10/9/2016
35,28,11/9/2016
20,65,9/4/2016
11,99,12/14/2015
13,65,1/2/2016
14,53,9/15/2016
25,84,5/2/2016
98,99,2/23/2016
00,03,12/9/2015
80,85,12/7/2015
56,68,1/7/2016
32,90,11/23/2016
38,16,5/7/2016
50,85,1/14/2016
88,69,5/24/2016
12,98,7/17/2016
35,93,3/29/2016
19,96,2/9/2016
04,50,6/1/2016
39,79,8/27/2016
35,59,1/25/2016
81,67,12/8/2015
58,85,8/25/2016
98,96,10/5/2016
93,66,10/14/2016
23,66,8/18/2016
26,07,6/4/2016
55,25,9/13/2016
60,45,4/15/2016
12,24,4/30/2016
01,12,10/8/2016
82,32,2/1/2016
71,77,3/28/2016
76,60,5/28/2016
96,76,12/9/2015
91,92,6/2/2016
36,60,9/3/2016
61,02,12/16/2015
70,49,8/30/2016
06,28,4/1/2016
23,09,12/2/2015
33,79,6/17/2016
22,95,10/20/2016
96,96,9/19/2016
12,43,10/9/2016
96,41,2/21/2016
17,91,5/29/2016
07,66,10/31/2016
43,47,4/5/2016
36,57,6/27/2016
31,14,8/8/2016
95,35,5/29/2016
64,96,3/16/2016
35,92,11/25/2015
63,07,6/16/2016
04,90,9/27/2016
98,17,3/30/2016
67,98,4/24/2016
12,59,4/2/2016
24,02,3/16/2016
30,92,11/17/2015
65,86,8/9/2016
85,82,6/23/2016
47,85,11/28/2015
58,96,1/15/2016
82,65,12/24/2015
08,09,6/14/2016
25,18,2/3/2016
38,69,4/2/2016
42,89,11/24/2015
28,53,3/12/2016
38,54,12/23/2015
04,46,11/16/2016
97,94,6/30/2016
04,97,2/19/2016
31,04,3/11/2016
19,93,11/6/2016
57,18,5/10/2016
77,80,2/11/2016
84,65,5/28/2016
37,17,9/14/2016
97,48,5/28/2016
38,89,6/10/2016
01,00,3/5/2016
79,75,11/16/2015
71,30,11/20/2016
09,49,11/22/2016
71,19,5/18/2016
89,99,12/12/2015
39,54,4/8/2016
85,46,2/8/2016
87,68,11/16/2016
00,08,5/24/2016
54,88,11/29/2016
38,09,2/25/2016
84,35,12/18/2015
94,82,6/5/2016
40,71,3/20/2016
37,83,1/5/2016
59,32,12/30/2015
58,19,6/21/2016
89,55,1/1/2016
49,02,10/1/2016
87,53,11/2/2015
47,00,1/14/2016
78,26,4/1/2016
03,19,9/12/2016
73,72,10/1/2016
76,53,8/5/2016
38,79,12/12/2015
27,80,7/20/2016
21,75,4/11/2016
26,95,3/20/2016
90,20,1/14/2016
57,67,7/31/2016
22,06,6/23/2016
20,77,5/4/2016
47,49,5/13/2016
62,26,3/10/2016
22,39,5/30/2016
43,01,2/9/2016
93,86,2/21/2016
50,01,6/18/2016
25,05,5/31/2016
19,36,4/12/2016
21,26,10/10/2016
04,51,8/20/2016
01,31,1/6/2016
54,46,9/13/2016
90,10,2/3/2016
65,78,11/27/2015
54,72,8/27/2016
55,77,7/29/2016
36,45,5/16/2016
92,07,11/26/2016
74,42,8/15/2016
66,55,10/9/2016
84,18,7/10/2016
37,37,11/10/2016
01,44,10/13/2016
94,16,7/14/2016
67,85,3/31/2016
40,17,2/9/2016
35,21,9/9/2016
93,44,12/31/2015
18,68,10/18/2016
83,51,5/14/2016
77,16,3/26/2016
24,32,6/4/2016
82,55,4/6/2016
36,88,8/15/2016
80,18,6/7/2016
80,96,4/2/2016
21,91,10/21/2016
20,44,10/15/2016
58,18,3/3/2016
47,62,6/13/2016
73,28,6/30/2016
95,41,5/28/2016
32,26,8/20/2016
12,37,4/4/2016
02,20,2/22/2016
54,16,11/23/2015
78,38,5/28/2016
96,94,3/4/2016
01,49,9/30/2016
14,62,9/5/2016
53,01,8/7/2016
86,44,11/25/2015
34,38,9/16/2016
13,67,5/10/2016
41,51,3/15/2016
99,25,10/26/2016
68,68,3/4/2016
50,35,4/11/2016
88,66,1/12/2016
10,42,6/8/2016
49,48,11/9/2016
47,39,7/11/2016
13,30,4/7/2016
21,25,8/6/2016
97,19,4/24/2016
91,45,5/18/2016
35,27,5/14/2016
27,63,1/8/2016
75,68,2/7/2016
64,06,8/7/2016
81,19,11/7/2016
23,57,10/22/2016
38,58,6/27/2016
33,66,11/24/2016
45,45,3/10/2016
31,83,3/11/2016
51,80,6/14/2016
76,95,5/8/2016
13,21,3/5/2016
58,85,11/4/2016
60,88,7/5/2016
26,78,11/8/2016
89,92,7/23/2016
17,15,4/20/2016
62,12,12/5/2015
38,78,3/29/2016
98,05,7/21/2016
73,74,10/5/2016
33,40,3/19/2016
37,68,11/27/2016
37,60,2/4/2016
09,31,1/28/2016
88,28,9/9/2016
92,59,9/18/2016
82,23,10/24/2016
07,48,11/23/2016
74,32,12/30/2015
24,06,6/26/2016
26,51,7/15/2016
50,95,5/2/2016
92,04,11/27/2015
98,49,10/20/2016
99,09,4/3/2016
93,15,1/23/2016
32,54,6/6/2016
83,60,12/22/2015
71,07,3/12/2016
10,32,8/14/2016
33,85,10/17/2016
39,41,7/31/2016
78,25,11/13/2015
82,36,6/12/2016
83,80,10/24/2016
56,95,12/3/2015
83,17,9/8/2016
94,21,8/1/2016
65,62,12/26/2015
94,18,11/16/2016
64,24,11/10/2016
96,05,6/7/2016
70,65,10/28/2016
92,20,5/31/2016
47,35,2/6/2016
26,59,7/17/2016
26,08,2/7/2016
49,12,4/8/2016
78,88,12/31/2015
81,36,7/17/2016
17,09,2/7/2016
62,35,3/26/2016
85,06,7/15/2016
04,87,5/10/2016
45,43,5/21/2016
82,12,9/21/2016
78,05,11/13/2016
75,61,12/25/2015
86,60,10/8/2016
54,10,11/22/2015
35,76,9/8/2016
10,09,1/13/2016
41,44,10/21/2016
48,27,3/26/2016
70,44,5/22/2016
75,16,3/9/2016
53,68,6/15/2016
41,93,3/10/2016
29,32,3/2/2016
63,35,1/25/2016
72,38,11/17/2016
75,00,11/28/2016
44,00,8/8/2016
58,69,3/6/2016
73,11,2/13/2016
96,48,2/23/2016
22,18,2/11/2016
32,53,9/6/2016
34,67,10/7/2016
89,15,10/1/2016
97,47,5/23/2016
10,68,5/2/2016
78,77,12/11/2015
61,91,10/21/2016
82,36,1/26/2016
45,34,3/21/2016
36,36,10/25/2016
11,02,2/17/2016
11,75,11/20/2015
52,24,8/6/2016
78,76,4/8/2016
85,09,10/31/2016
85,73,6/13/2016
31,65,10/26/2016
09,39,3/9/2016
87,23,7/24/2016
33,49,5/10/2016
18,79,4/3/2016
79,49,2/11/2016
21,31,6/6/2016
52,98,6/26/2016
84,22,10/18/2016
95,98,8/31/2016
87,79,9/18/2016
30,23,9/4/2016
88,46,12/14/2015
70,57,3/22/2016
58,80,12/3/2015
64,04,8/31/2016
58,05,7/10/2016
04,54,8/25/2016
00,27,12/2/2015
80,06,11/30/2015
90,10,1/12/2016
37,39,3/29/2016
11,52,11/10/2015
81,41,3/24/2016
46,23,9/21/2016
43,04,11/4/2016
68,58,3/26/2016
91,99,6/24/2016
30,14,11/9/2015
93,44,8/30/2016
69,77,1/17/2016
66,50,8/29/2016
16,05,3/25/2016
60,86,11/23/2015
03,21,3/20/2016
25,15,11/9/2015
33,96,7/27/2016
77,31,5/16/2016
96,35,3/30/2016
06,75,9/16/2016
66,51,11/4/2016
73,04,1/1/2016
17,53,1/25/2016
19,51,11/24/2016
36,22,11/28/2015
02,53,12/29/2015
39,23,3/26/2016
77,08,1/11/2016
11,38,12/22/2015
37,20,10/18/2016
92,97,9/22/2016
84,72,11/1/2016
53,53,6/15/2016
57,43,3/27/2016
63,45,3/17/2016
88,22,12/5/2015
24,23,3/31/2016
21,50,8/18/2016
30,35,12/16/2015
71,80,12/27/2015
43,04,7/5/2016
93,24,2/9/2016
14,95,5/25/2016
54,79,1/27/2016
35,67,8/10/2016
40,47,8/1/2016
24,28,5/17/2016
21,34,7/16/2016
59,66,1/10/2016
99,76,5/9/2016
71,76,9/8/2016
52,25,11/3/2016
29,33,8/31/2016
73,22,10/5/2016
73,20,3/27/2016
28,91,5/27/2016
19,07,11/26/2016
97,37,11/10/2016
13,22,3/22/2016
85,02,12/12/2015
14,39,1/15/2016
06,94,2/8/2016
33,89,11/21/2015
00,29,8/12/2016
53,06,11/3/2015
30,18,9/9/2016
71,92,1/6/2016
07,10,6/21/2016
16,92,11/18/2016
74,15,11/25/2015
34,42,9/17/2016
44,81,6/4/2016
59,50,5/5/2016
74,95,6/25/2016
19,20,10/30/2016
59,98,5/16/2016
27,81,9/15/2016
13,34,4/6/2016
33,01,4/21/2016
05,74,4/26/2016
18,66,1/24/2016
54,34,4/8/2016
81,79,12/28/2015
49,75,7/6/2016
82,90,2/24/2016
80,58,4/10/2016
12,05,5/14/2016
25,83,11/17/2016
11,08,6/4/2016
35,67,7/11/2016
90,78,9/25/2016
11,68,11/27/2015
19,54,1/21/2016
61,67,2/19/2016
99,77,4/6/2016
34,99,3/13/2016
12,24,7/19/2016
66,36,9/10/2016
19,48,8/10/2016
62,74,8/24/2016
38,52,9/17/2016
59,92,5/15/2016
82,18,6/13/2016
06,95,5/15/2016
16,30,10/11/2016
45,07,6/23/2016
62,78,2/24/2016
18,53,11/7/2015
76,52,7/7/2016
13,52,9/19/2016
07,72,6/11/2016
96,56,1/9/2016
58,06,3/21/2016
33,02,9/13/2016
79,50,5/29/2016
10,94,10/20/2016
86,75,5/12/2016
08,93,8/18/2016
57,12,5/12/2016
89,62,12/28/2015
44,19,1/8/2016
62,05,6/4/2016
67,10,4/15/2016
81,22,11/15/2016
95,06,3/28/2016
66,56,8/7/2016
31,74,2/8/2016
27,98,5/14/2016
00,32,7/29/2016
74,01,6/20/2016
40,44,11/7/2015
40,22,7/29/2016
65,74,5/24/2016
49,56,11/21/2015
93,21,9/9/2016
24,04,5/26/2016
20,25,3/25/2016
60,58,6/11/2016
45,36,1/18/2016
32,66,7/10/2016
30,23,3/23/2016
77,70,3/8/2016
95,72,11/29/2015
89,73,10/12/2016
75,85,6/30/2016
73,53,1/1/2016
97,13,7/23/2016
36,38,6/9/2016
20,68,1/9/2016
88,07,12/15/2015
96,63,6/8/2016
69,06,8/8/2016
12,07,7/10/2016
62,83,7/17/2016
47,24,11/16/2016
43,93,5/9/2016
19,76,12/2/2015
55,48,11/21/2015
72,60,1/7/2016
72,82,5/21/2016
40,94,7/21/2016
78,17,10/18/2016
22,98,10/3/2016
48,44,5/5/2016
02,86,6/26/2016
07,34,6/16/2016
16,13,11/9/2016
99,19,7/14/2016
05,85,11/18/2015
99,07,7/14/2016
12,83,11/23/2015
16,32,3/19/2016
11,55,6/8/2016
43,92,4/8/2016
19,31,6/7/2016
10,75,5/21/2016
26,36,10/6/2016
44,43,6/29/2016
29,01,1/2/2016
11,92,4/29/2016
13,22,12/13/2015
06,01,1/27/2016
79,92,6/6/2016
73,62,2/22/2016
28,32,2/4/2016
39,98,12/23/2015
78,98,4/3/2016
93,65,1/19/2016
64,89,1/17/2016
58,26,8/27/2016
52,10,5/26/2016
57,66,11/27/2015
76,46,12/10/2015
33,97,4/18/2016
98,93,9/20/2016
32,34,11/30/2015
04,37,1/3/2016
03,23,8/16/2016
16,08,1/9/2016
12,84,5/21/2016
27,84,11/9/2016
17,77,4/21/2016
02,87,9/20/2016
56,29,2/29/2016
15,42,8/11/2016
45,62,12/18/2015
67,37,2/20/2016
49,76,9/3/2016
63,02,2/28/2016
60,38,11/1/2016
33,85,6/30/2016
60,94,8/18/2016
83,91,7/25/2016
48,79,6/12/2016
49,14,8/7/2016
68,31,7/17/2016
31,92,11/10/2016
09,90,10/9/2016
25,80,8/9/2016
88,24,10/21/2016
46,60,5/12/2016
95,01,12/7/2015
98,38,1/14/2016
94,10,4/17/2016
14,81,7/13/2016
48,95,4/1/2016
76,76,1/27/2016
29,64,8/30/2016
18,87,8/18/2016
74,92,10/3/2016
35,30,12/29/2015
67,01,11/6/2015
88,23,7/20/2016
72,94,8/14/2016
40,32,3/20/2016
66,80,9/24/2016
66,23,12/10/2015
95,35,8/16/2016
47,02,1/11/2016
64,00,5/19/2016
54,90,3/17/2016
39,10,11/30/2015
81,04,4/20/2016
71,06,8/8/2016
47,81,1/7/2016
13,87,11/26/2016
22,66,4/13/2016
97,34,2/21/2016
99,94,9/25/2016
42,57,11/15/2016
93,06,11/14/2015
89,27,1/9/2016
86,75,8/8/2016
65,00,1/21/2016
79,04,7/25/2016
50,14,9/22/2016
49,78,11/18/2015
66,74,8/19/2016
26,44,7/6/2016
68,95,11/4/2016
11,41,8/31/2016
37,34,8/9/2016
70,64,9/3/2016
83,27,4/14/2016
37,26,8/6/2016
38,60,11/28/2016
06,30,3/31/2016
43,41,6/23/2016
89,57,4/24/2016
73,02,11/2/2016
45,18,9/22/2016
77,45,7/27/2016
83,23,10/4/2016
49,80,6/26/2016
58,84,5/25/2016
78,76,11/15/2015
83,81,11/13/2016
20,06,11/28/2015
73,64,3/9/2016
46,76,8/26/2016
97,41,6/30/2016
58,99,7/26/2016
82,64,11/16/2016
48,55,8/23/2016
57,84,5/2/2016
03,63,1/7/2016
68,14,1/1/2016
38,61,7/23/2016
95,43,10/6/2016
25,56,8/29/2016
01,50,5/5/2016
08,60,12/22/2015
49,83,8/27/2016
29,17,7/13/2016
03,95,9/11/2016
58,41,12/1/2015
55,33,9/28/2016
66,34,11/20/2015
37,69,6/5/2016
87,05,5/12/2016
13,83,7/26/2016
35,87,2/22/2016
66,24,2/1/2016
56,96,1/13/2016
31,56,4/15/2016
74,07,11/17/2016
79,23,9/15/2016
82,32,8/29/2016
77,44,4/20/2016
60,45,3/7/2016
25,60,7/12/2016
20,53,3/11/2016
44,01,1/26/2016
28,52,11/12/2015
75,16,9/1/2016
18,95,12/18/2015
84,54,10/5/2016
92,26,1/3/2016
44,72,8/17/2016
53,30,2/11/2016
04,26,9/14/2016
49,91,4/26/2016
72,14,10/22/2016
88,48,4/3/2016
50,35,3/2/2016
24,12,3/13/2016
12,67,8/6/2016
76,23,9/10/2016
67,70,10/7/2016
28,29,12/10/2015
70,93,2/12/2016
09,62,1/9/2016
69,25,3/13/2016
82,36,1/24/2016
31,28,9/8/2016
75,00,1/14/2016
47,78,11/9/2016
83,58,12/24/2015
60,08,7/29/2016
08,92,9/12/2016
51,82,3/18/2016
62,09,2/21/2016
89,76,9/12/2016
05,71,7/30/2016
27,23,6/1/2016
78,45,5/9/2016
46,96,11/14/2015
67,56,9/16/2016
49,92,5/31/2016
11,64,2/21/2016
75,41,5/4/2016
85,19,3/29/2016
08,75,5/12/2016
05,18,5/28/2016
06,11,4/28/2016
29,61,1/13/2016
83,33,2/18/2016
92,70,3/21/2016
29,67,4/27/2016
96,03,4/27/2016
53,76,11/17/2016
37,49,1/24/2016
15,30,12/10/2015
94,55,3/5/2016
23,95,5/10/2016
60,73,4/25/2016
28,78,11/7/2015
83,71,11/12/2015
08,21,10/30/2016
49,37,8/10/2016
23,48,10/15/2016
02,36,6/4/2016
